,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Andrej Kramarić,27.0,hr CRO,"FW,CM",26-250,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,49.0,11.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,26.0,40.0,65.0,3.0,35.0,7.0,1.0,2.0,488.0,121.0,9.0,12.0,75.0,12.0,16.0,75.0,3.0,9.0,33.3,0.0,3.0,1.0,0.0,36.0,4.0,0.0,0.0,9.0,4.0,3.0,3.0,2.0,1.0,0.0,15.0,14.0,11.0,8.0,28.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,29.0,2.0,44.0,50.0,1.0,0.0,260.0,104.0,2.0,1.0,4.0,0.0,51.0,40.0,78.4,9.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1,Ádám Szalai,28.0,hu HUN,FW,30-077,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,1.0,12.0,0.0,0.0,0.0,142.0,13.0,5.0,8.0,62.5,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,2.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,35.3,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,3.0,20.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,4.0,1.0,31.0,15.0,48.4,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0
2,Mark Uth,19.0,de GER,FW,26-184,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,0.0,0.0,1.0,35.0,0.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,Dennis Geiger,32.0,de GER,CM,19-259,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,46.0,21.0,2.0,1.0,2.0,0.1,0.1,0.1,1.0,0.0,27.0,31.0,87.1,5.0,36.0,3.0,1.0,2.0,536.0,118.0,8.0,11.0,72.7,13.0,14.0,92.9,5.0,5.0,100.0,1.0,2.0,2.0,0.0,29.0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,3.0,6.0,2.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,38.1,4.0,15.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,28.0,16.0,4.0,44.0,50.0,1.0,0.0,126.0,46.0,1.0,0.0,4.0,1.0,42.0,31.0,73.8,8.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0
4,Robert Žulj,20.0,at AUT,CM,26-019,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,18.0,72.2,2.0,21.0,0.0,0.0,1.0,165.0,41.0,7.0,9.0,77.8,5.0,5.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,2.0,5.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,21.0,6.0,1.0,28.0,0.0,0.0,0.0,63.0,10.0,0.0,0.0,2.0,1.0,26.0,19.0,73.1,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
5,Lukas Rupp,7.0,de GER,"CM,RM",27-047,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,11.0,72.7,0.0,11.0,4.0,0.0,0.0,96.0,7.0,4.0,4.0,100.0,3.0,3.0,100.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,16.7,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,7.0,0.0,16.0,0.0,0.0,0.0,72.0,39.0,1.0,0.0,2.0,0.0,12.0,11.0,91.7,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
6,Florian Grillitsch,11.0,at AUT,DM,22-201,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,74.0,19.0,1.0,1.0,3.0,0.1,0.1,0.0,2.0,0.0,50.0,61.0,82.0,1.0,39.0,4.0,0.0,0.0,841.0,127.0,26.0,29.0,89.7,20.0,24.0,83.3,4.0,6.0,66.7,0.0,2.0,0.0,0.0,55.0,6.0,6.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,9.0,5.0,48.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,9.0,47.4,3.0,14.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,15.0,53.0,11.0,1.0,71.0,0.0,0.0,0.0,260.0,79.0,2.0,0.0,1.0,2.0,35.0,32.0,91.4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,3.0,0.0,100.0
7,Serge Gnabry,29.0,de GER,"WB,LM",22-225,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,14.0,2.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,40.0,54.0,74.1,5.0,53.0,11.0,7.0,11.0,668.0,153.0,16.0,18.0,88.9,24.0,33.0,72.7,0.0,2.0,0.0,1.0,1.0,1.0,0.0,43.0,11.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,35.0,6.0,13.0,10.0,31.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,35.7,6.0,3.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,36.0,34.0,7.0,59.0,63.6,7.0,0.0,275.0,156.0,5.0,2.0,3.0,2.0,53.0,42.0,79.2,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,100.0
8,Pavel Kadeřábek,3.0,cz CZE,"WB,RB",25-305,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,11.0,2.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,47.0,60.0,78.3,4.0,41.0,10.0,0.0,0.0,847.0,167.0,16.0,17.0,94.1,30.0,34.0,88.2,1.0,7.0,14.3,1.0,2.0,1.0,0.0,50.0,10.0,1.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,33.0,11.0,16.0,5.0,41.0,2.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,2.0,6.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,14.0,39.0,23.0,6.0,60.0,0.0,0.0,0.0,328.0,212.0,4.0,1.0,1.0,1.0,54.0,47.0,87.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,83.3
9,Benjamin Hübner,21.0,de GER,CB,28-235,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,74.0,79.0,93.7,7.0,69.0,4.0,0.0,0.0,1575.0,743.0,22.0,22.0,100.0,41.0,42.0,97.6,11.0,13.0,84.6,0.0,11.0,0.0,0.0,77.0,2.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,17.0,68.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,2.0,50.0,1.0,6.0,50.0,3.0,6.0,3.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,28.0,63.0,2.0,0.0,88.0,0.0,0.0,0.0,296.0,159.0,0.0,0.0,0.0,2.0,69.0,67.0,97.1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,50.0
