,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Bobby Wood,7.0,us USA,FW,24-277,86.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,26.0,0.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,7.0,17.0,41.2,0.0,18.0,1.0,1.0,4.0,124.0,32.0,3.0,5.0,60.0,3.0,9.0,33.3,0.0,2.0,0.0,2.0,1.0,0.0,0.0,15.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.9,5.0,12.0,9.0,0.0,0.0,1.0,0.0,7.0,0.0,6.0,9.0,15.0,18.0,3.0,37.0,25.0,2.0,0.0,48.0,37.0,2.0,0.0,3.0,4.0,51.0,23.0,45.1,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,75.0
1,Sven Schipplock,19.0,de GER,FW,28-284,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,42.9,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,Filip Kostić,17.0,rs SRB,"LW,RW",24-291,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,10.0,2.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,7.0,15.0,46.7,0.0,9.0,1.0,0.0,2.0,103.0,26.0,3.0,4.0,75.0,4.0,5.0,80.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,6.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,2.0,7.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,10.0,13.0,2.0,23.0,0.0,1.0,0.0,68.0,24.0,0.0,1.0,0.0,1.0,31.0,15.0,48.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,40.0
3,Luca Waldschmidt,15.0,de GER,"AM,LW",21-092,30.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,4.0,6.0,66.7,0.0,6.0,2.0,0.0,0.0,64.0,9.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,26.7,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,10.0,0.0,0.0,0.0,36.0,13.0,1.0,1.0,1.0,0.0,12.0,7.0,58.3,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4,André Hahn,11.0,de GER,"RW,LW",27-006,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,31.0,3.0,0.0,2.0,0.0,0.0,0.2,3.0,1.0,16.0,30.0,53.3,2.0,23.0,2.0,3.0,4.0,271.0,84.0,8.0,13.0,61.5,6.0,9.0,66.7,2.0,8.0,25.0,1.0,1.0,1.0,0.0,30.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,8.0,11.0,4.0,14.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,6.0,19.4,8.0,11.0,12.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,5.0,25.0,14.0,0.0,42.0,75.0,3.0,0.0,126.0,66.0,0.0,0.0,3.0,2.0,48.0,27.0,56.3,7.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,6.0,53.8
5,Nicolai Müller,27.0,de GER,AM,29-328,14.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,1.0,0.0,0.0,62.0,27.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,7.0,0.0,0.0,0.0,34.0,17.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Aaron Hunt,14.0,de GER,"AM,LW",30-349,76.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,30.0,1.0,1.0,2.0,0.2,0.2,0.0,2.0,0.0,15.0,26.0,57.7,1.0,19.0,0.0,1.0,1.0,271.0,122.0,9.0,11.0,81.8,3.0,7.0,42.9,3.0,8.0,37.5,1.0,0.0,0.0,0.0,21.0,5.0,3.0,0.0,7.0,2.0,1.0,2.0,2.0,0.0,0.0,14.0,5.0,7.0,19.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,9.0,30.0,10.0,14.0,6.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,8.0,17.0,15.0,0.0,31.0,100.0,1.0,0.0,114.0,24.0,1.0,0.0,1.0,1.0,21.0,14.0,66.7,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
7,Walace,12.0,br BRA,CM,22-137,90.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,39.0,21.0,2.0,1.0,0.0,0.0,0.0,0.1,3.0,1.0,23.0,29.0,79.3,2.0,26.0,3.0,2.0,2.0,398.0,95.0,11.0,13.0,84.6,10.0,12.0,83.3,2.0,3.0,66.7,2.0,3.0,0.0,0.0,29.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,5.0,5.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,6.0,16.7,5.0,3.0,14.3,10.0,9.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0,22.0,11.0,3.0,39.0,100.0,2.0,0.0,102.0,58.0,0.0,1.0,2.0,2.0,25.0,21.0,84.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,66.7
8,Albin Ekdal,20.0,se SWE,CM,28-022,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,20.0,3.0,1.0,5.0,0.0,0.0,0.1,2.0,0.0,33.0,39.0,84.6,9.0,23.0,3.0,0.0,1.0,648.0,276.0,11.0,11.0,100.0,14.0,17.0,82.4,7.0,10.0,70.0,2.0,5.0,0.0,0.0,37.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,11.0,8.0,26.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,4.0,25.0,3.0,5.0,25.0,5.0,14.0,1.0,1.0,0.0,4.0,4.0,7.0,0.0,10.0,18.0,37.0,2.0,0.0,54.0,0.0,0.0,0.0,192.0,92.0,1.0,0.0,0.0,0.0,21.0,18.0,85.7,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,20.0,2.0,2.0,50.0
9,Rick van Drongelen,4.0,nl NED,LB,18-242,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,12.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,43.0,53.5,3.0,20.0,1.0,0.0,0.0,562.0,355.0,5.0,6.0,83.3,14.0,24.0,58.3,4.0,9.0,44.4,0.0,4.0,1.0,1.0,27.0,16.0,3.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,5.0,25.0,26.0,0.0,3.0,13.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,6.0,50.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,6.0,20.0,31.0,5.0,0.0,40.0,0.0,0.0,0.0,59.0,14.0,0.0,0.0,1.0,0.0,21.0,17.0,81.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,33.3
