player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Roberto Inglese,FW,27-089,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,27.0,19.0,0.0,1.0,0.0,0.2,0.2,0.0,2.0,0.0,8.0,12.0,66.7,0.0,15.0,1.0,1.0,1.0,105.0,3.0,6.0,7.0,85.7,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,26.3,0.0,6.0,13.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,9.0,15.0,8.0,25.0,100.0,1.0,0.0,72.0,18.0,0.0,1.0,2.0,3.0,52.0,20.0,38.5,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,55.6
Gervinho,"LW,LM,RW,FW",31-258,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,28.0,1.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,11.0,15.0,73.3,2.0,21.0,8.0,2.0,3.0,183.0,31.0,5.0,9.0,55.6,3.0,3.0,100.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,4.0,9.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.9,10.0,12.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,12.0,13.0,5.0,23.0,66.7,2.0,0.0,157.0,112.0,2.0,1.0,2.0,1.0,35.0,17.0,48.6,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Luca Siligardi,RW,31-014,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,0.0,12.0,1.0,1.0,2.0,67.0,28.0,6.0,7.0,85.7,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.1,4.0,9.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,5.0,7.0,1.0,16.0,50.0,2.0,0.0,30.0,18.0,0.0,1.0,2.0,1.0,18.0,11.0,61.1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Jonathan Biabiany,"RM,RW,CM",30-287,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,15.0,60.0,1.0,14.0,1.0,0.0,1.0,126.0,24.0,6.0,9.0,66.7,3.0,6.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,7.0,11.0,0.0,21.0,0.0,0.0,0.0,57.0,26.0,0.0,0.0,1.0,2.0,17.0,14.0,82.4,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
Antonino Barillà,"CM,LM",30-314,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.0,5.0,4.0,0.0,0.0,0.0,0.1,2.0,0.0,19.0,26.0,73.1,1.0,23.0,1.0,1.0,2.0,366.0,117.0,8.0,11.0,72.7,7.0,8.0,87.5,4.0,7.0,57.1,1.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,6.0,18.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,4.0,25.0,3.0,10.0,24.4,17.0,16.0,8.0,0.0,0.0,0.0,9.0,3.0,0.0,5.0,18.0,25.0,5.0,0.0,42.0,50.0,2.0,1.0,103.0,47.0,0.0,0.0,0.0,4.0,28.0,22.0,78.6,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
Juraj Kucka,CM,31-348,83.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,34.0,4.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,25.0,34.0,73.5,3.0,28.0,2.0,4.0,6.0,515.0,175.0,9.0,11.0,81.8,11.0,15.0,73.3,5.0,6.0,83.3,1.0,3.0,1.0,1.0,34.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,10.0,7.0,6.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,5.0,20.0,4.0,9.0,26.5,11.0,19.0,4.0,1.0,0.0,1.0,4.0,4.0,0.0,6.0,12.0,26.0,12.0,1.0,46.0,66.7,4.0,0.0,102.0,25.0,2.0,0.0,0.0,1.0,30.0,27.0,90.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,100.0
Mattia Sprocati,"LW,CM",25-287,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,3.0,1.0,0.0,0.0,41.0,34.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Matteo Scozzarella,"DM,CM",30-249,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,25.0,31.0,80.6,2.0,19.0,1.0,1.0,1.0,678.0,175.0,4.0,4.0,100.0,14.0,14.0,100.0,7.0,13.0,53.8,1.0,2.0,0.0,0.0,28.0,3.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,5.0,11.0,2.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,7.0,23.3,15.0,14.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0,17.0,18.0,3.0,0.0,34.0,100.0,1.0,0.0,98.0,34.0,0.0,0.0,0.0,0.0,22.0,21.0,95.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Leo Štulac,"DM,CM",24-136,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,3.0,5.0,1.0,0.0,0.0,158.0,89.0,2.0,2.0,100.0,2.0,2.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,16.7,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,7.0,0.0,0.0,0.0,89.0,62.0,1.0,0.0,0.0,0.0,6.0,4.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Riccardo Gagliolo,LB,28-287,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,37.0,67.6,6.0,17.0,0.0,0.0,1.0,526.0,259.0,6.0,7.0,85.7,18.0,21.0,85.7,1.0,3.0,33.3,1.0,2.0,1.0,0.0,30.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,6.0,17.0,8.0,4.0,6.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,4.0,22.2,12.0,4.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,9.0,19.0,25.0,4.0,0.0,39.0,0.0,1.0,1.0,41.0,14.0,0.0,0.0,0.0,0.0,24.0,22.0,91.7,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,75.0
Alessandro Bastoni,CB,19-302,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,39.0,43.0,90.7,1.0,35.0,1.0,0.0,0.0,948.0,362.0,10.0,10.0,100.0,19.0,19.0,100.0,10.0,14.0,71.4,0.0,4.0,0.0,0.0,41.0,2.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,10.0,37.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,25.0,5.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,14.0,40.0,15.0,0.0,0.0,50.0,0.0,0.0,0.0,212.0,144.0,0.0,0.0,0.0,0.0,31.0,31.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
Bruno Alves,CB,37-074,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,10.0,1.0,4.0,3.0,0.1,0.1,0.0,1.0,0.0,21.0,30.0,70.0,1.0,16.0,1.0,0.0,0.0,534.0,192.0,5.0,5.0,100.0,10.0,15.0,66.7,6.0,9.0,66.7,0.0,2.0,0.0,0.0,27.0,3.0,3.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,4.0,12.0,3.0,23.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,10.0,0.0,0.0,2.0,0.0,1.0,5.0,13.0,0.0,20.0,35.0,9.0,6.0,2.0,46.0,0.0,0.0,0.0,89.0,32.0,0.0,0.0,0.0,0.0,20.0,19.0,95.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,80.0
Simone Iacoponi,RB,31-285,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,33.0,69.7,3.0,15.0,1.0,0.0,0.0,384.0,125.0,15.0,16.0,93.8,5.0,7.0,71.4,3.0,10.0,30.0,0.0,0.0,0.0,0.0,21.0,12.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,14.0,8.0,0.0,17.0,2.0,12.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,12.5,18.0,6.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,15.0,15.0,14.0,0.0,31.0,0.0,0.0,0.0,47.0,34.0,0.0,0.0,1.0,3.0,24.0,19.0,79.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
Luigi Sepe,GK,27-277,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,42.0,66.7,0.0,17.0,0.0,0.0,0.0,1015.0,627.0,4.0,4.0,100.0,11.0,11.0,100.0,12.0,26.0,46.2,0.0,0.0,0.0,0.0,23.0,19.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,24.0,29.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,43.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,41.0,25.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
